filename,turn,debater_a_median,debater_b_median,diff
branch_Probability_-_expected_number_of_rolls.txt,Argument 1,4,4,0
branch_Probability_-_expected_number_of_rolls.txt,Response 1,5,5,0
branch_Probability_-_expected_number_of_rolls.txt,Argument 2,4,5,-1
branch_Probability_-_expected_number_of_rolls.txt,Response 2,4,4,0
branch_Probability_-_expected_number_of_rolls.txt,Argument 3,4,5,-1
branch_Probability_-_expected_number_of_rolls.txt,Response 3,5,5,0
branch_Probability_-_expected_number_of_rolls_v2.txt,Opening,5,5,0
branch_Probability_-_expected_number_of_rolls_v2.txt,Argument 1,4,4,0
branch_Probability_-_expected_number_of_rolls_v2.txt,Response 1,5,5,0
branch_Probability_-_expected_number_of_rolls_v2.txt,Argument 2,4,5,-1
branch_Probability_-_expected_number_of_rolls_v2.txt,Response 2,4,4,0
branch_Probability_-_expected_number_of_rolls_v2.txt,Argument 3,4,5,-1
branch_Probability_-_expected_number_of_rolls_v2.txt,Response 3,5,5,0
branch_bergs_modified.txt,Opening,5,5,0
branch_bergs_modified.txt,Argument 1,5,5,0
branch_bergs_modified.txt,Response 1,4,4,0
branch_bergs_modified.txt,Argument 2,5,4,1
branch_bergs_modified.txt,Response 2,5,5,0
branch_bergs_modified.txt,Argument 3,5,4,1
branch_bergs_modified.txt,Response 3,5,4,1
branch_bergs_modified_2.txt,Opening,5,5,0
branch_bergs_modified_2.txt,Argument 1,5,5,0
branch_bergs_modified_2.txt,Response 1,4,4,0
branch_bergs_modified_2.txt,Argument 2,4,5,-1
branch_bergs_modified_2.txt,Response 2,3,4,-1
branch_bergs_modified_2.txt,Argument 3,5,5,0
branch_bergs_modified_2.txt,Response 3,5,5,0
branch_early_universe_galaxies_cm_easy.new.txt,Opening,3,4,-1
branch_early_universe_galaxies_cm_easy.new.txt,Argument 1,3,4,-1
branch_early_universe_galaxies_cm_easy.new.txt,Response 1,4,4,0
branch_early_universe_galaxies_cm_easy.new.txt,Argument 2,4,5,-1
branch_early_universe_galaxies_cm_easy.new.txt,Response 2,5,4,1
branch_early_universe_galaxies_cm_easy.new.txt,Argument 3,5,4,1
branch_early_universe_galaxies_cm_easy.new.txt,Response 3,4,4,0
branch_early_universe_galaxies_cm_hard.new.txt,Opening,3,4,-1
branch_early_universe_galaxies_cm_hard.new.txt,Argument 1,3,4,-1
branch_early_universe_galaxies_cm_hard.new.txt,Response 1,3,4,-1
branch_early_universe_galaxies_cm_hard.new.txt,Argument 2,4,5,-1
branch_early_universe_galaxies_cm_hard.new.txt,Response 2,3,3,0
branch_early_universe_galaxies_cm_hard.new.txt,Argument 3,5,5,0
branch_early_universe_galaxies_cm_hard.new.txt,Response 3,3,3,0
branch_gravitational_lens_modelling_cm.new.txt,Opening,5,5,0
branch_gravitational_lens_modelling_cm.new.txt,Argument 1,3,4,-1
branch_gravitational_lens_modelling_cm.new.txt,Response 1,3,2,1
branch_gravitational_lens_modelling_cm.new.txt,Argument 2,3,5,-2
branch_gravitational_lens_modelling_cm.new.txt,Response 2,3,4,-1
branch_gravitational_lens_modelling_cm.new.txt,Argument 3,3,4,-1
branch_gravitational_lens_modelling_cm.new.txt,Response 3,4,3,1
branch_gravitational_lens_modelling_cm_2.new.txt,Opening,5,5,0
branch_gravitational_lens_modelling_cm_2.new.txt,Argument 1,5,5,0
branch_gravitational_lens_modelling_cm_2.new.txt,Response 1,3,3,0
branch_gravitational_lens_modelling_cm_2.new.txt,Argument 2,5,5,0
branch_gravitational_lens_modelling_cm_2.new.txt,Response 2,4,5,-1
branch_gravitational_lens_modelling_cm_2.new.txt,Argument 3,5,4,1
branch_gravitational_lens_modelling_cm_2.new.txt,Response 3,5,2,3
branch_internal_temperature_of_stars_3.new.txt,Opening,5,5,0
branch_internal_temperature_of_stars_3.new.txt,Argument 1,4,5,-1
branch_internal_temperature_of_stars_3.new.txt,Response 1,4,4,0
branch_internal_temperature_of_stars_3.new.txt,Argument 2,4,5,-1
branch_internal_temperature_of_stars_3.new.txt,Response 2,5,4,1
branch_internal_temperature_of_stars_3.new.txt,Argument 3,4,5,-1
branch_internal_temperature_of_stars_3.new.txt,Response 3,5,5,0
branch_internal_temperature_of_stars_cm.new.txt,Opening,5,5,0
branch_internal_temperature_of_stars_cm.new.txt,Argument 1,4,5,-1
branch_internal_temperature_of_stars_cm.new.txt,Response 1,5,5,0
branch_internal_temperature_of_stars_cm.new.txt,Argument 2,4,5,-1
branch_internal_temperature_of_stars_cm.new.txt,Response 2,5,5,0
branch_internal_temperature_of_stars_cm.new.txt,Argument 3,5,5,0
branch_internal_temperature_of_stars_cm.new.txt,Response 3,4,5,-1
branch_large_linear_structure.new.txt,Opening,4,4,0
branch_large_linear_structure.new.txt,Argument 1,5,4,1
branch_large_linear_structure.new.txt,Response 1,3,4,-1
branch_large_linear_structure.new.txt,Argument 2,5,5,0
branch_large_linear_structure.new.txt,Response 2,4,4,0
branch_large_linear_structure.new.txt,Argument 3,4,5,-1
branch_large_linear_structure.new.txt,Response 3,3,4,-1
branch_large_linear_structure_2.new.txt,Opening,4,4,0
branch_large_linear_structure_2.new.txt,Argument 1,4,4,0
branch_large_linear_structure_2.new.txt,Response 1,3,4,-1
branch_large_linear_structure_2.new.txt,Argument 2,5,4,1
branch_large_linear_structure_2.new.txt,Response 2,4,3,1
branch_large_linear_structure_2.new.txt,Argument 3,4,4,0
branch_large_linear_structure_2.new.txt,Response 3,3,2,1
branch_little_red_dots.new.txt,Opening,5,5,0
branch_little_red_dots.new.txt,Argument 1,5,4,1
branch_little_red_dots.new.txt,Response 1,3,4,-1
branch_little_red_dots.new.txt,Argument 2,3,4,-1
branch_little_red_dots.new.txt,Response 2,4,3,1
branch_little_red_dots.new.txt,Argument 3,4,5,-1
branch_little_red_dots.new.txt,Response 3,5,4,1
branch_little_red_dots_gr.new.txt,Opening,4,4,0
branch_little_red_dots_gr.new.txt,Argument 1,5,4,1
branch_little_red_dots_gr.new.txt,Response 1,3,4,-1
branch_little_red_dots_gr.new.txt,Argument 2,3,4,-1
branch_little_red_dots_gr.new.txt,Response 2,4,3,1
branch_little_red_dots_gr.new.txt,Argument 3,3,3,0
branch_little_red_dots_gr.new.txt,Response 3,5,5,0
branch_switch_modified.txt,Opening,4,5,-1
branch_switch_modified.txt,Argument 1,5,5,0
branch_switch_modified.txt,Response 1,5,4,1
branch_switch_modified.txt,Argument 2,5,5,0
branch_switch_modified.txt,Response 2,5,5,0
branch_switch_modified.txt,Argument 3,5,5,0
branch_switch_modified.txt,Response 3,5,5,0
branch_switch_modified_v2.txt,Opening,4,5,-1
branch_switch_modified_v2.txt,Argument 1,5,5,0
branch_switch_modified_v2.txt,Response 1,5,3,2
branch_switch_modified_v2.txt,Argument 2,5,5,0
branch_switch_modified_v2.txt,Response 2,5,4,1
branch_switch_modified_v2.txt,Argument 3,5,5,0
branch_switch_modified_v2.txt,Response 3,5,4,1
